,activites,backgrounds,description,duration,end,languages,location,natioinalities,organization,positions,salary,selections,skills,start,url
44,Trabajo de campo,"Required Business administration, Public relations","        Pasante de Desarrollo de Negocios, con conocimientos en relaciones públicas, dispuesto a realizar trabajo de campo, tratar con los beneficiarios de la empresa social e ir a eventos para vender y conseguir contactos. Debe manejar bien el idioma español (escritura) y estar alineado con el propósito de la empresa: ""Llevar una vida balanceada y saludable basada en una buena alimentación.""      ",15 Weeks,31-Jan-18,No preferences,"Lima, Peru",No preferences,COMEPE CORP . SA,1,Unpaid,Programa una entrevista en / Arrange an interview on: bit.ly/AIESECLIMAinterviews,"Required Sales, Public Relations",15-Oct-17,http://aiesec.org/opportunity/857238
45,Social media management,Required Marketing,"        You will work with company team to help them in creating and developing marketing strategies, content creation, social media management  and external presentation.Market research and good analysis skills.Multitasking skills.Committed.Well organized.Experience in presentation final solutions.Being customer oriented.      ",6 Weeks,19-Sep-17,No preferences,"Belgrade, ",No preferences,Cortex Labs,2,Unpaid,"After you apply (in less than 24h from applying), you will have an interview with a person from AIESEC. If you pass it, your CV will be forwarded to the company. If they marked your CV as a good one, you will have an interview with the company. While the whole process you will be in touch with AIESEC. Good luck! :)","Preferred Team Management, Digital Marketing",07-Aug-17,http://aiesec.org/opportunity/857194
46,Design the graphic identity of the company,"Required Design, Graphic design",        Create physical and virtual content in the company      ,Unpaid,13 Weeks,No preferences,"TACNA, TACNA","Preferred Argentina, Mexico, Ecuador, Brazil, Colombia",GL SATELITAL E.I.R.L.,01-Oct-17,1,Computer Provided,"Required Adobe InDesign, Computer aided technical design",01-Jan-18,http://aiesec.org/opportunity/857056
47,Design the graphic identity of the company,Required Graphic design Preferred Design,        Create physical and virtual content in the company      ,Unpaid,13 Weeks,No preferences,"TACNA, TACNA","Preferred Venezuela, Mexico, Colombia, Brazil",GRUPO LINARES S.A.,01-Oct-17,1,Computer Provided,Required Adobe InDesign Preferred Photoshop,01-Jan-18,http://aiesec.org/opportunity/857052
48,you will Make social media marketing plans and campaigns.,Preferred Marketing,"        The Startup Unicorns Project is a 6 weeks to 3 monthsunpaid professional internship across Egypt’s top startups.This project was born out of our belief in the powerEgyptian startups have in changing the world. The StartupUnicorns Project supports Egypt in achieving Industry,Innovation and Infrastructure which is one of the UnitedNation’s Sustainable Development Goals (Goal #9).Through the efforts of this project, we will significantlyincrease industrialization in Egypt.      ",6 Weeks,15-Nov-17,No preferences,"Giza, Egypt",No preferences,ABDA,10,Unpaid,The selection process is as follows: - You will need to attach your CV - You will need to conduct Skype interview An LC representative will contact you shortly after receiving your application to support you through the process,"Preferred Handling Pressure, Leadership, Presentation skills, Team Management, Internet usage",01-Oct-17,http://aiesec.org/opportunity/857032
49,"You will work on a variety of products, including websites, catalogues,","Preferred Graphic design, Marketing","        The Startup Unicorns Project is a 6 weeks to 3 months unpaid professional internship across Egypt’s top startups. This project was born out of our belief in the power Egyptian startups have in changing the world. This project also supports Egypt in achieving Industry, Innovation and Infrastructure which is one of the United Nation’s Sustainable DevelopmentGoals(Goal#9).Through the efforts of this project,we will significantly increase industrialization in Egypt      ",6 Weeks,15-Nov-17,No preferences,"Cairo, Egypt",No preferences,Mashtal Garden centers,10,Unpaid,The selection process is as follows: - You will need to attach your CV - You will need to conduct Skype interview -you will need to send a video of 2 mins answering certain questions An LC representative will contact you shortly after receiving your application to support you through the process,"Preferred Handling Pressure, Leadership, TCP/IP, Adobe Illustrator, Presentation skills, MacOS, Photoshop",01-Oct-17,http://aiesec.org/opportunity/857030
50,"Receive trainings of the organization's processes, identify learning points and contributions.","Required Graphic design, Media Arts Preferred Marketing","        4Geeks Academy’s motto is Breathe Coding.  This is a community of software development. Their students are taught basic to advanced features for web development. They are looking for young talent with graphic design skills, capable of helping them increase their impact all around Venezuela and the world.Through LINK UP, empowered by AIESEC in USB, you'll coordinate digital marketing campaings and also, have the opportunity to learn about software developing with first class teachers.      ",12 Weeks,30-Nov-17,No preferences,"Caracas, Venezuela",No preferences,4Geeks Academy Venezuela,1,200000 VEF per Month ,"In around 2 or 3 days after you apply, you will receive an email telling you the next steps. If you profile fits with the company needs, we will requesting your availability to have an online meeting, which we’ll use to get to know you better, talk about your expectations, why you choose this opportunity, your perspective and so on. At the end, you will receive some feedbacks (if any) and we will be attentive to continue with the acceptance process.","Required Image editing, Photoshop, Adobe After Effects, Adobe Illustrator Preferred Mac usage, Internet usage, Filming, Content Strategy, Digital Marketing, Adaptability, Creativity",04-Sep-17,http://aiesec.org/opportunity/856807
51,Researching about the current job trends in marketing related to every specialisation.,"Preferred Computer engineering, Marketing","        The intern will be given a market based on the native language of the intern.This market shall be a country where the same language is spoken or is a primary language of the country.The intern has to market the mobile applications in his/her country and try to achieve targets accordingly.Apart from that, the intern may need to provide customer support or translation of a few documents which will in turn help the intern market and spread the application in a much a better way.      ",Unpaid,13 Weeks,No preferences,", Vadodara, India","Preferred Germany, China, Mainland",Chorus ProApp Pvt. Ltd.,30-Aug-17,5,Computer Provided,"Preferred Digital Marketing, Windows PC usage",30-Nov-17,http://aiesec.org/opportunity/856533
52,Encourage Speaking and Listening Skills,Preferred Education,"        Perform initial and final diagnosis of assigned groups, using dynamic activities for children, adolescents and adults.Encourage mainly Speaking and Listening skills in English and French.      ",215 USD per Month ,12 Weeks,No preferences,"Huauchinango, Mexico",Preferred Canada,Centro de Idiomas,21-Aug-17,1,Computer Provided,Required Language Teaching,17-Nov-17,http://aiesec.org/opportunity/856447
53,Participating in workshops,Preferred Architecture,"        The Startup Unicorns Project is a 6 weeks to 3 monthsunpaid professional internship across Egypt’s top startups.This project was born out of our belief in the powerEgyptian startups have in changing the world. The StartupUnicorns Project supports Egypt in achieving Industry,Innovation and Infrastructure which is one of the UnitedNation’s Sustainable Development Goals (Goal #9).Through the efforts of this project, we will significantlyincrease industrialization in Egypt.      ",21 Weeks,31-Jan-18,No preferences,"Kragujevac, ",No preferences,AIESEC,10,Unpaid,Please attach your CV with the application,"Preferred Auto-CAD, 3D Max, Adobe Flash, Creativity, Leadership",01-Sep-17,http://aiesec.org/opportunity/856216
54,You will teach Football basics,"Preferred Sports, Health Science","        The Startup Unicorns Project is a 6 weeks to 3 monthsunpaid professional internship across Egypt’s top startups.This project was born out of our belief in the powerEgyptian startups have in changing the world. The StartupUnicorns Project supports Egypt in achieving Industry,Innovation and Infrastructure which is one of the UnitedNation’s Sustainable Development Goals (Goal #9).Through the efforts of this project, we will significantlyincrease industrialization in Egypt.      ",Unpaid,17 Weeks,No preferences,"Tanta, Egypt","Preferred China, Mainland, Chile, Turkey, France, Germany, Italy, Colombia, Brazil",Family Sports Academy,01-Sep-17,10,Computer Provided,"Preferred Leadership, Creativity",31-Dec-17,http://aiesec.org/opportunity/856215
55,Starting development program and getting acquainted with new environment.,Preferred Business administration,"        We need crazy global thinkers, who like to travel and share great stories. Additionally , you should not be limited by borders of mind, but see opportunity and solution in everything around. We need thirsty and proactive people who will constantly be willing to develop themselves.You will pass intensive development program where will have a chance to learn basics of business setup, management of daily problems in startups and apply knowledge into practice after finalizing development program.      ",Unpaid,6 Weeks,No preferences,"Baku, Azerbaijan",Required Turkey,Vizam.az,10-Aug-17,5,Computer Provided,"Preferred Adaptability, Blogging, Internet usage, Market Research, Research, Solution Orientation, Collaboration",22-Sep-17,http://aiesec.org/opportunity/856122
56,,Preferred Business administration,        Administrative processes optimizationUpdate and refresh the strategic direction and organizational cultureSWOT Creation and organizational analisis Bussiness Model and Value proposition consolidationProject Management and Creation      ,Unpaid,6 Weeks,No preferences,"Arequipa, Perú","Preferred Argentina, Brazil, Mexico, Colombia",SHOW DENT,09-Oct-17,1,Computer Provided,Preferred Project Management,25-Nov-17,http://aiesec.org/opportunity/856097
57,Work under guidance from Senior Researchers and Country Executives from membership countries.,"Preferred Political science, Economics, Law","        *See this link for more info: [bit.ly/2otLCVe]The Policy Research Analyst Intern contributes to Research Program in support of comprehensive research to promote the comparative research of policy and institutional reform. Intern is responsible for investigating national-wide and region-wide policies of multiple countries, collecting and analyzing quantitative and qualitative data.Program fee of $200 must be paid to AIESEC Boston upon arrival. ( Other costs are separate)      ",Unpaid,6 Weeks,No preferences,"Cambridge, MA, United States","Preferred The Philippines, Japan, Korea, Democratic Peoples Republic Of, Thailand, Malaysia, Cambodia, Vietnam, Indonesia, Singapore, Argentina, Peru",Harvard International Research Project,18-Sep-17,8,Computer Provided,"Preferred Leadership, Research, Internet usage, Presentation skills, Data Analysis",30-Oct-17,http://aiesec.org/opportunity/856006
58,"increasing the followers’ database and driving engagement in all social media platforms,",Preferred Marketing,"        The main role of this intern will be digital marketing of Cultural Bridge. The intern will run an audit of current digital communication of Cultural Bridge on Facebook, LinkedIn and Instagram, and based on the findings s/he will design a strategy for company’s digital presence. The ultimate goal of this strategy will be raising the Cultural Bridge brand awareness, building up awareness of cross-cultural education which is the key area of Cultural Bridge’s business activity.      ",Unpaid,8 Weeks,No preferences,"KARA, ","Preferred United Kingdom, Canada, United States",CULTURAL  ACTIVITIES,04-Sep-17,1,Computer Provided,Required Digital Marketing Preferred Creativity,03-Nov-17,http://aiesec.org/opportunity/855930
59,Demonstrate and explain products and services in order to persuade customers to purchase products.,"Preferred Business administration, Marketing, Public relations","        With the hope to provide ICT solutions for any sectors or people and fill gaps in ICT industry in the country, Portion also has built several products up to so far and branded within the community.      ",13 Weeks,30-Nov-17,No preferences,"Colombo, Sri Lanka",No preferences,Portion Pvt Ltd,3,10000 LKR per Month ,Through Skype Interview,"Preferred Adaptability, Leadership",31-Aug-17,http://aiesec.org/opportunity/855889
60,Design digital media campaigns with copywritting on our social media aligned with business goals,"Preferred Marketing, Public relations",        An intern will do the design concept and strategies for Marketing Communication & Public Relations by targeting local segmentation to be achieved by the Startup. Creating digital media campaign and communities event and be the co-working representative.      ,Unpaid,13 Weeks,No preferences,"Bandung, West Java, Indonesia","Preferred France, Germany, Australia",CO&CO Space,10-Aug-17,1,Computer Provided,"Preferred Event Planning, Digital Marketing, Public Relations",10-Nov-17,http://aiesec.org/opportunity/855869
61,Assemble or disassemble complex mechanical or electrical systems,"Preferred Mechanical engineering, Electrical engineering, Electronics engineering","        EP is responsible for being either electro-mechanical technician or mechanical engineering technologist for vending machines and kiosks.S/he has to be familiar with main activities in order to accomplish expectations. S/he is going to assist engineers to design, develop, test or manufacture industrial machinery ,consumer products or other equipments.      ",Unpaid,8 Weeks,No preferences,"Pardis - Tehran, Iran",Preferred Japan,Pars Vending,01-Dec-17,1,Computer Provided,"Required Computer aided technical design, Technical Support, Manufacturing Technology Preferred Solution Orientation, Creativity, Adaptability",01-Feb-18,http://aiesec.org/opportunity/855805
62,Marketing,"Preferred Business administration, Marketing",        Event planning and management.Employing proactive marketing strategies and techniques to achieve customer expected results      ,15 Weeks,20-Dec-17,No preferences,"ACCRA, GHANA",No preferences,Xodus Communications,5,Unpaid,EPs will have their CVs reviewed after which they will be interviewed and then selected.,Required Digital Marketing,01-Sep-17,http://aiesec.org/opportunity/855704
63,"Conceptual learning, organization and execution;","Preferred Systems and Computing Engineering, Computer sciences, Finance","        The Global Arché project aims to develop an international platform in which different market players can collaborate to increase their earnings and enable the exchange of ideas and experiences. The applicants for this opportunity must enjoy taking part on a collaborative and innovative environment, working together with a multiprofessional team and coping with Brazilian and global clients. [Possibility of earning bonuses in cash and/or certificates by the end of the project development]      ",6 Weeks,07-Oct-17,No preferences,"São Paulo, Brazil",No preferences,SCA Systema,1,Unpaid,"We're looking for a candidate that's keen on leadership and general culture related topics, as well as presents a solution oriented personality, with creative and proactive behaviors. Communicative, management and organizational skills are deeply valued. All interested candidates must apply to the opportunity. AIESEC in USP will contact you to schedule an interview, in case you fulfill the requirements. A quick video should be recorded, answering to a question brought by the company.","Preferred Oracle, Microsoft SQL Server, Java, C#, Python, Business Intelligence, Market Research, Project Management",21-Aug-17,http://aiesec.org/opportunity/855634
64,"Conceptual learning, organization and execution;","Preferred Business administration, Economics, Finance","        The Global Arché project aims to develop an international platform in which different market players can collaborate to increase their earnings and enable the exchange of ideas and experiences. The applicants for this opportunity must enjoy taking part on a collaborative and innovative environment, working together with a multiprofessional team and coping with Brazilian and global clients. [Possibility of earning bonuses in cash and/or certificates by the end of the project development]      ",6 Weeks,07-Oct-17,No preferences,"São Paulo, Brazil",No preferences,SCA Systema,1,Unpaid,"We're looking for a candidate that's keen on leadership and general culture related topics, as well as presents a solution oriented personality, with creative and proactive behaviors. Communicative, management and organizational skills are deeply valued. All interested candidates must apply to the opportunity. AIESEC in USP will contact you to schedule an interview, in case you fulfill the requirements. A quick video should be recorded, answering to a question brought by the company.","Required Data Analysis Preferred Business Intelligence, Solution Orientation, Problem Solving, Strategic Planning, Adaptability, Client servicing, Relationship Management",21-Aug-17,http://aiesec.org/opportunity/855623
65,"Conceptual learning, organization and execution;","Preferred Marketing, Business administration, International Trade","        The Global Arché project aims to develop an international platform in which different market players can collaborate to increase their earnings and enable the exchange of ideas and experiences. The applicants for this opportunity must enjoy taking part on a collaborative and innovative environment, working together with a multiprofessional team and coping with Brazilian and global clients. [Possibility of earning bonuses in cash and/or certificates by the end of the project development]      ",6 Weeks,07-Oct-17,No preferences,"São Paulo, Brazil",No preferences,SCA Systema,1,Unpaid,"We're looking for a candidate that's keen on leadership and general culture related topics, as well as presents a solution oriented personality, with creative and proactive behaviors. Communicative, management and organizational skills are deeply valued. All interested candidates must apply to the opportunity. AIESEC in USP will contact you to schedule an interview, in case you fulfill the requirements.A quick video should be recorded, answering to a question brought by the company.","Required Market Research Preferred Solution Orientation, Relationship Management, Team Management, Community Development, Adaptability, Collaboration, Creativity",21-Aug-17,http://aiesec.org/opportunity/855621
66,"You will teach basic English to kids or youth, and measure their performance and improvement.",Preferred Languages,"        The Startup Unicorns Project is a 6 weeks to 3 monthsunpaid professional internship across Egypt’s top startups.This project was born out of our belief in the powerEgyptian startups have in changing the world. The StartupUnicorns Project supports Egypt in achieving Industry,Innovation and Infrastructure which is one of the UnitedNation’s Sustainable Development Goals (Goal #9).Through the efforts of this project, we will significantlyincrease industrialization in Egypt.      ",6 Weeks,14-Oct-17,No preferences,"Tanta, Egypt",No preferences,Logic,9,Unpaid,"Please send your CV along with a 5 minutes video covering the following points: 1-Introduce yourself (Name, Age, Major, Hobbies and country) 2-Describe your motivation to take part in this project. 3-Why you want to come to Egypt. 4-Why you should be selected.","Preferred Leadership, Creativity",01-Sep-17,http://aiesec.org/opportunity/855612
67,Design and build advanced applications for the andriod platform for the law App,Preferred Software development and programming,        Looking for a Tech talent to be part of the scale up team for their law app. Result-driven and fast paced environment.      ,Unpaid,6 Weeks,No preferences,"Nairobi, Kenya","Preferred Italy, Germany, France, Thailand, Malaysia",KnownAfrique,18-Aug-17,1,Computer Provided,"Preferred JSON, HTML 5, PHP, Android, iOS, Software Engineering, Adobe After Effects, Java",02-Oct-17,http://aiesec.org/opportunity/855491
68,"Receive trainings of the organization's processes, identify learning points and contributions.","Preferred Public relations, Business administration, Marketing","        Teachlr is an E-learning platform that allows individuals and organizations to request, receive and transmit knowledge in a personalized and interactive way through certified online courses.They are looking for young talent with marketing skills, capable of helping them increase their impact all around Caracas and the World. Through LINK UP, empowered by AIESEC in USB, the intern will learn how an online business with global vision works, to lead projects and about new technologies.      ",12 Weeks,30-Nov-17,No preferences,"Caracas, Venezuela",No preferences,Teachlr,1,200000 VEF per Month ,"In around 2 or 3 days after you apply, you will receive an email telling you the next steps. If you profile fits with the company needs, we will requesting your availability to have an online meeting, which we’ll use to get to know you better, talk about your expectations, why you choose this opportunity, your perspective and so on. At the end, you will receive some feedbacks (if any) and we will be attentive to continue with the acceptance process.","Required Writing, Client servicing, Problem Solving, Sales, Relationship Management Preferred Business Intelligence, Internet usage, Community Development, Creativity, Adaptability, Data Analysis, Public Relations, Digital Marketing",04-Sep-17,http://aiesec.org/opportunity/855107
69,"Receive trainings of the organization's processes, identify learning points and contributions.","Preferred International relations, Entrepreneurship, Business administration","        Teachlr is an E-learning platform that allows individuals and organizations to request, receive and transmit knowledge in a personalized and interactive way through certified online courses.They are looking for young talent with negotiation skills, capable of helping them increase their impact all around the world. Through POP UP, empowered by AIESEC in USB, the intern will learn how an online business with global vision works, to lead projects and about new technologies.      ",12 Weeks,30-Nov-17,No preferences,"Caracas, Venezuela",No preferences,Teachlr,1,200000 VEF per Month ,"In around 2 or 3 days after you apply, you will receive an email telling you the next steps. If you profile fits with the company needs, we will requesting your availability to have an online meeting, which we’ll use to get to know you better, talk about your expectations, why you choose this opportunity, your perspective and so on. At the end, you will receive some feedbacks (if any) and we will be attentive to continue with the acceptance process.","Required Sales, Public Relations, Data Analysis, Business Intelligence Preferred Problem Solving, Adaptability, Writing, Internet usage, Negotiation",04-Sep-17,http://aiesec.org/opportunity/855098
70,"Receive trainings of the organization's processes, identify learning points and contributions.","Preferred Entrepreneurship, Marketing, Graphic design","        Teachlr is an E-learning platform that allows individuals and organizations to request, receive and transmit knowledge in a personalized and interactive way through certified online courses.They are looking for young talent with marketing skills, capable of helping them increase their impact all around Caracas and the World. Through LINK UP, empowered by AIESEC in USB, the intern will learn how an online business with global vision works, to lead projects and about new technologies.      ",12 Weeks,30-Nov-17,No preferences,"Caracas, Venezuela",No preferences,Teachlr,1,200000 VEF per Month ,"In around 2 or 3 days after you apply, you will receive an email telling you the next steps. If you profile fits with the company needs, we will requesting your availability to have an online meeting, which we’ll use to get to know you better, talk about your expectations, why you choose this opportunity, your perspective and so on. At the end, you will receive some feedbacks (if any) and we will be attentive to continue with the acceptance process.","Required Internet usage, Writing, Market Research, Public Relations, Data Analysis Preferred Sales, Creativity, Adaptability, Problem Solving, Digital Marketing",04-Sep-17,http://aiesec.org/opportunity/855096
71,*You will adjust content of sales presentations by studying the type of sales outlet or trade factor,Preferred Marketing,"        #In Heart to Heart consulting organisation you will serves customers by selling products, meeting customer needs, Services existing accounts, obtains orders, and establishes new accounts by planning and organizing daily work schedule to call on existing or potential sales outlets and other trade factors. Salary 1000 EGP/ month.      ",12 Weeks,30-Nov-17,No preferences,"Harbin, ",No preferences,Heart To Heart,2,1000 EGP per Month ,CV/Call Interview.,Preferred Sales,01-Sep-17,http://aiesec.org/opportunity/854253
72,*You will adjust content of sales presentations by studying the type of sales outlet or trade factor,Preferred Marketing,"        #In Heart to Heart consulting organisation you will serves customers by selling products, meeting customer needs, Services existing accounts, obtains orders, and establishes new accounts by planning and organizing daily work schedule to call on existing or potential sales outlets and other trade factors. Salary 1000 EGP/ month.      ",13 Weeks,01-Dec-17,No preferences,"Harbin, ",No preferences,Heart To Heart,2,1000 EGP per Month ,CV/Call Interview.,Preferred Sales,01-Sep-17,http://aiesec.org/opportunity/854251
73,*Use social media tools.,Preferred Marketing,"        #In Heart to heart consulting organisation you will be responsible for creating email marketing campaigns to promote a product or service. Determines target audience, devises campaign, and launches email campaign to create buzz or generate leads for the business. Salary 1000 EGP per month.      ",12 Weeks,30-Nov-17,No preferences,"Harbin, ",No preferences,Heart To Heart,2,1000 EGP per Month ,CV/Call interview.,Preferred Digital Marketing,01-Sep-17,http://aiesec.org/opportunity/854250
74,*Use social media tools.,Preferred Marketing,"        #In Heart to heart consulting organisation you will be responsible for creating email marketing campaigns to promote a product or service. Determines target audience, devises campaign, and launches email campaign to create buzz or generate leads for the business.  Salary 1000 EGP per month.      ",12 Weeks,30-Nov-17,No preferences,"Harbin, ",No preferences,Heart To Heart,2,1000 EGP per Month ,CV/ Call interview.,Preferred Digital Marketing,01-Sep-17,http://aiesec.org/opportunity/854249
75,Management and Development of relationships with current clients and partners,"Required Business administration, Marketing",        Relationship and account ManagementBusiness DevelopmentSocial Activity      ,9 Weeks,17-Nov-17,No preferences,"Athens, Greece",No preferences,Interfima,0,Unpaid,"1) Apply2) A 2mins video of each EP, within 24hours, talking about the following: a) Why internship through AIESEC b) Why Greece c) What are your skills d) What are y?u going to offer in a start up e) Your availability3) Interview by the start-up4) Accept5) Be Approved within 48 hours: a) LDA b) ANcontract c) Payments","Required Presentation skills, Sales, Financial management, Organisational Management, Event Planning, Project Management, Content Marketing, Relationship Management, Public Relations Preferred Leadership, Database Management",11-Sep-17,http://aiesec.org/opportunity/854248
76,Establish the controls and data necessary to develop the website,Preferred Software development and programming,"        PHD is a coaching and consultancy enterprise for entrepreneurships based in Maracaibo. Currently, is looking fo a Web Developer who can program their e-learning website in orden to spread their knowledge to others in different countries and places. The intern will be programming PHP-MYSQL-Moodle codes in order to analyze and develop online learning and training products for a web page dedicated to e-learning. / Leylacoachemprende.      ",13 Weeks,25-Dec-17,No preferences,"Maracaibo, Venezuela",No preferences,Progress Human Development,2,Unpaid,- Knowledge of the details of the internship (via e-mail)- Interview with AIESEC Maracaibo- Interview with the CEO of the Startup,"Preferred Database Administration, Search Engine Optimization (SEO), Blogging, Wordpress, Windows, Linux, PHP, Javascript, Java",25-Sep-17,http://aiesec.org/opportunity/854223
77,1. Develop meetings for the students;,"Preferred Marketing, Business administration, Public relations","        Our mission is to enable our members to communicate naturally in foreign languages. Our purpose is to connect people to new friends, cultures and opportunities for a borderless world.www.selfout.com.brTransportation and Accommodation covered!We are looking forward to have you here in Salvador!      ",Unpaid,10 Weeks,No preferences,"Salvador, Brazil","Preferred Peru, Argentina, The Netherlands, Germany, Hungary",SelfOut,09-Jan-18,1,Computer Provided,"Preferred Team Management, Training, Sales, Project Management",24-Mar-18,http://aiesec.org/opportunity/853839
78,"1. Content production for social networks (site, facebook and instagram)","Preferred Marketing, Graphic design","        Our mission is to enable our members to communicate naturally in foreign languages. Our purpose is to connect people to new friends, cultures and opportunities for a borderless world.www.selfout.com.brTransportation and Accommodation covered!We are looking forward to have you here in Salvador!      ",Unpaid,10 Weeks,No preferences,"Salvador, Brazil","Preferred Germany, The Netherlands, Hungary, Argentina, Peru",SelfOut,09-Jan-18,1,Computer Provided,"Preferred Digital Marketing, Adobe Illustrator, Photoshop, Adobe Premiere Pro, Corel Draw, Creativity, Adaptability, Leadership",24-Mar-18,http://aiesec.org/opportunity/853823
79,Conversion of Leads to customers,"Preferred Business administration, Communication & journalism","        Come and create a worldwide trend.Be part of Dronfies, a startup that seeks to revolutionize the role that drones play in our daily livesUsers request the dron to a predetermined location and it takes an aerial photo. The image arrives to the device instantly and can be shared in real time.Use Dronfies in both private and mass events, on your personal party or as an advertising tool for your brand.      ",13 Weeks,15-Jan-18,No preferences,"Montevideo, Montevideo",No preferences,Dronfies,1,Unpaid,The process for this opportunity is: 1. Request of EPs. 2. Schedule the interview with AIESEC by mail and request a personality test. 3. (AIESEC) Skype interview up to 36 hours after receiving your request. 4. Email with information of the company between 48-72 hours for them to evaluate. 5. Mail is sent within 24 hours to the applicant with the resolution.,"Required Microsoft Excel, Microsoft Powerpoint, Microsoft Word, Google Drive, Community Development Preferred Sales, Negotiation",16-Oct-17,http://aiesec.org/opportunity/853771
80,Good teaching and communication skills.,Required Public relations,        This opportunity is for those that are interested in turning some ideas into physical objects.  You'll be sharing your experience with participants and students who are passionate about handcrafts.      ,13 Weeks,19-Nov-17,No preferences,"Lima, Peru",No preferences,FABLAB,1,Unpaid,The trainee has to be able to have an interview via Skype.,"Required Creativity, Adaptability Preferred Sales",14-Aug-17,http://aiesec.org/opportunity/853646
81,Study and Analysis of the Business Model.,"Required Human Resources, Business administration Preferred Marketing","        Cúsica was born with the desire to transmit the message of Venezuelan artistic talent throughout our country. For this reason, the website Cusica.com was created, sells music downloads digital music, audiovisual production and merchandising of Venezuelan artists. Today we are looking for a person to help us with the task of presenting new proposals for the structure of the organization and business processes.      ",6 Weeks,27-Oct-17,No preferences,"caracas, Venezuela",No preferences,Cusica,1,Unpaid,1st round: an interview with AIESEC 2nd round: an interview with the company 3rd round: accepted/declined the participant. Important: you must have an intermediate level in Spanish,"Required Presentation skills, Windows PC usage, Internet usage Preferred Project Management, Market Research",15-Sep-17,http://aiesec.org/opportunity/853586
82,1. Translate application storyboards and use cases into functional applications.,"Preferred Computer engineering, Software development and programming, Computer sciences","        The Java Developer Intern will be working in Product Development Team at SpiderG, and will be reporting to the Senior Java Developer. Java developer responsible for building Java applications. This includes anything between complex groups of back-end services and their client-end (desktop and mobile) counterparts. Your primary responsibility will be to design and develop these applications, and to coordinate with the rest of the team working on different layers of the infrastructure.      ",13 Weeks,15-Nov-17,No preferences,"Pune, India",No preferences,SpiderG-Gladiris Technologies Pvt.Ltd,2,94 USD per Month ,"Interviews on Skype. Submission of past work/portfolio along with CV is required. Initial screening round via video call, Assignment Evaluation, Final round of interview, Our main outlook is to search for the interns who have the ownership of their talent and are creative in their own way. Spider G is the kind of startup that provides: ·The liberty to stand up and speak your thoughts out loud · We respect and deliberately acquire that kind of intelligence","Preferred Java, Javascript, Software Engineering, JSON, Computer aided technical design",15-Aug-17,http://aiesec.org/opportunity/853471
83,1. They must also have a strong understanding of the patterns & practices that revolving around it.,"Preferred Software development and programming, Computer engineering, Computer sciences","        The Android Intern will be working in Product Development Team at SpiderG, and will be reporting to the Senior Android Developer. The intern will be responsible for developing applications for devices powered by the Android operating system. Due to the fragmentation of this ecosystem, an Android developer must pay special attention to the application’s compatibility with multiple versions of Android & device types.      ",13 Weeks,15-Nov-17,No preferences,"Pune, India",No preferences,SpiderG-Gladiris Technologies Pvt.Ltd,2,94 USD per Month ,"Interviews on Skype. Submission of past work/portfolio along with CV is required. Initial screening round via video call, Assignment Evaluation, Final round of interview, Our main outlook is to search for the interns who have the ownership of their talent and are creative in their own way. Spider G is the kind of startup that provides: ·The liberty to stand up and speak your thoughts out loud · We respect and deliberately acquire that kind of intelligence","Preferred Android, Android studio, MySQL, Data Analytics, JSON",15-Aug-17,http://aiesec.org/opportunity/853468
84,"Plan and execute all web, marketing database, email, social media and display advertising campaigns",Preferred Marketing,"        The individual filling this role needs to have creativity and experience in Photoshop, Corel Draw and Social Media Management. You will be part of ATNIC, a hardware startup that focus on agriculture & aquaculture technology ? Take responsibilities in our campaign's ?Take part of the marketing strategies (plan, design, identify, .. etc.) ?	Implement new features as well as maintaining current campaigns.      ",Unpaid,8 Weeks,No preferences,"Yogyakarta, Indonesia","Preferred Thailand, Malaysia, Vietnam, The Philippines, China, Mainland, Japan, Australia",ATNIC,01-Sep-17,1,Computer Provided,"Preferred Social Media Management, Creativity, Corel Draw, Photoshop",01-Nov-17,http://aiesec.org/opportunity/853343
85,Creating an attractive web display,"Preferred Computer sciences, Computer engineering, Software development and programming","        The individual filling this role needs to have experience in PHP and Laravel. You will be part of ATNIC, a hardware startup that focus on agriculture & aquaculture technology ? Take responsibilities and ownership in our product’s front-end/back-end ?Take part of the product development lifecycle (design, development, testing, .. etc.) ?	Implement new features as well as maintaining current code base.      ",Unpaid,8 Weeks,No preferences,"Yogyakarta, Indonesia","Preferred Canada, Germany, India, China, Mainland",ATNIC,01-Sep-17,1,Computer Provided,"Preferred PHP, Lavarel",01-Nov-17,http://aiesec.org/opportunity/853340
